23:24:00: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
23:24:06: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (3.3333333333333335, 5.0, 0.16666666666666666)
23:24:06: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (4.615384615384615, 4.615384615384615, 0.15384615384615385)
23:24:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (4.285714285714286, 2.857142857142857, 0.14285714285714285)
23:24:07: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (4.0, 1.3333333333333333, 0.13333333333333333)
23:24:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (3.75, 0.0, 0.125)
23:24:08: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (2.3529411764705883, 0.0, 0.11764705882352941)
23:24:09: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (1.1111111111111112, 0.0, 0.1111111111111111)
23:24:09: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.10526315789473684)
23:24:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 1.0, 0.1)
23:24:10: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 1.9047619047619047, 0.09523809523809523)
23:24:11: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 2.727272727272727, 0.09090909090909091)
23:24:11: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
23:24:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (1.6666666666666667, 2.5, 0.08333333333333333)
23:24:12: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (2.4, 2.4, 0.08)
23:24:13: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
23:24:13: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
23:24:14: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (2.142857142857143, 0.0, 0.07142857142857142)
23:24:14: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (1.3793103448275863, 0.0, 0.06896551724137931)
23:24:15: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.6666666666666666, 0.0, 0.06666666666666667)
23:24:15: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.06451612903225806)
23:24:16: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 77] Command worker stopped
